hall, meal, item_name, calories, protein_g, carbs_g, fat_g
douthit, dinner, crispy onion rings, 200, 2, 22, 12
douthit, dinner, chili con carne, 180, 14, 16, 7
douthit, dinner, beef brisket burnt end sausage, 310, 18, 4, 24
douthit, dinner, queso dip, 280, 8, 8, 22
douthit, dinner, roasted brussels sprouts, 90, 3, 10, 4
douthit, dinner, loaded queso chorizo tots, 330, 8, 28, 22
douthit, dinner, granola, 90, 2, 16, 2
douthit, dinner, bacon pieces, 70, 5, 0, 5
douthit, dinner, chopped hard-cooked egg, 70, 6, 1, 5
douthit, dinner, diced ham, 50, 8, 1, 1
douthit, dinner, nonfat strawberry greek yogurt, 45, 8, 7, 0
douthit, dinner, nonfat vanilla greek yogurt, 80, 13, 10, 0
douthit, dinner, cantaloupe, 10, 0, 2, 0
douthit, dinner, diced pineapple, 25, 0, 7, 0
douthit, dinner, grape tomatoes, 10, 0, 2, 0
douthit, dinner, honeydew melon, 25, 0, 6, 0
douthit, dinner, red grapes, 30, 0, 8, 0
douthit, dinner, tortilla chips, 225, 3, 24, 12
